comment_text,toxic,obscene,threat,insult,identity_hate
""" Doesn't the term """"C. lupus familiaris"""" identify the domestic dog as a subspecies of wolf? I was under the impression that it was given that name because people believed the domestic dog was descended from the """,0,0,0,0,0
"i need to leave fisherQueen a message...WE'RE BACK!!!!!!!!!!!!!! well only on this page.. but soon we will be after you!!!!!!!!!!!! Just kidding...maybe...you will never know! THEY are after you and your lesbian friends!!!!!! And merope, you cant call that comment pearsonal offence because it says on her user page!!!!!!!!!!!!!!!!!!!!!",0,0,0,0,1
"Hey Rollosmokes can I ask you something, why do you have a bug up your ass about how this article is written? It's just my personal observation but it seem that you sometimes act like a child unwilling to share a toy with others in this case the ability to allow other Wikipedians the chance to make constructive contributions. You seem to have this habit of entering into a mode of This is mine and you can't touch it everytime you revert what most people consider a good contribution of information. I have to seriously question whether your mature enough to really be a contributor to Wikipedia. By the way that IP user was NEVER banned.",1,0,0,0,0
SPACE AFTER PERIOD YOU BUCKET HEAD. SUCK TO MUCH CARBON MONOXIDE? 207.69.139.142,0,0,0,1,0
NO what it is instead is blatant censorship by a bunch of ignorant bigots.,0,0,0,1,0
"I am sure that you are the SON of one of those 15,000 moslem women who were raped in Ranchi Prison by Hindu-Sikh soldiers, though reality never comes out its not difficult to think that those muslim women lived in that prison for over 1 year and some of them also bore child or Hindu-Sikh soldiers.",0,0,0,0,1
"I KNOW IT'S ENGLAND BECAUSE IT SAYS UTC 

IN FACT I'LL BLOW UP UK AND IRELAND!",0,0,1,0,0
"Stop editing it.  I'm from Santa Clarita, I went to Saugus High School so I know that they are, in fact, gay.",0,0,0,0,1
"well terrilja , thats what u get , if you erase someones edit without proper reason , just because you have power to do so.  

I knoe you, terrilja , rschen and your admin friends are racist fellows who think that only british view is the correct view

Well, if you still think that way , why dont you search the term on google and find it yourself that I am right 72.33.44.250    
you wont do it because this will make you go back on your actions ,,  you racist 72.33.44.250",1,0,0,0,0
"WELL HERE THIS WIKIPEDIANS: I MADE THE FLAGS GO ON, IT WENT UP TO A GOOD STANDARD. i WILL NOT ALLOW FOOLS RUIN MY CREATIONA ND OTHERS HARD WORK. I WILL FIGHT IT LIKE A MASS OF CHRISTIANS GOING TO CHURCH EVERY SUNDAY IF I HAVE TO!!!!!

Hear this cry if you will, I am saving this version
So all I will do, is repeat it again and again
Then I may get thrown off this stupid pointless thing
but whom gives a shit, I come on as a different user, sure thing
and keep on doing it, untill i get my way
make neon go some place else, go away
all the haters of national flags
the flags which make it easier to recieve information,
should stick their head up their arse
or even up to the sky where God is apparently,
excuse me for my redemption but it pisses me off that there is this infighting
I say what I will, as it is my freedom
please now neon and the other haters get off this dam FORUM!

thank you.",0,1,0,0,0
If you continue to vandalize articles you will be blocked,0,0,0,0,0
"Mate, sound like you are jewish

Gayness is in the air",0,0,0,0,1
"""

Well, I was offline so I missed the fireworks...but your award is most appreciated. I can't see a lot of reason to stick around here much anymore....what's the point? I get death threats and trolling on my talkpage and get threatened with a block for telling them to fuck off in an edit summary? I have another guy call me blind, insane and or a troll and no one threatens him with a block...not even a civility warning is posted...nothing at all...this was just 12 hours ago. I have to endure all sorts of harassment, baiting, goading and character assassination and when I am not perfectly civil in the a face of this neverending barrage of hate...I get some admin threatening me with a """"final warning"""" and then a gives me a 72 HOUR BLOCK! """,0,1,0,0,0
"If you block me for telling you what you are, there will bw a holy war, I promise you that.",0,0,1,0,0
"Dildo Baggins 

Come on, be nice, i spent anges on dildo and even added the humour header.",0,1,0,0,0
"To disrespectful and ignorant Iryna Harpy 

No such thing as disruptive editing. It's backed up with facts and data. 

I should know better given as I'm Colombian myself, unlike yourself.",0,0,0,1,0
"""

 Let's have a chat 

Many of us in the wikipedia community are becoming irked with your constant defense of the Administrator Veinor. Although we cannot devulge our sources there is conclusive evidence that he engages in bestiality or """"Dog Fucking"""" as some of my colleagues have come to call it. Our network's attempts to alert the wikipedia community regarding this sexual deviant have time and time again been thwarted by your efforts. I therefore ask you to cease and desist your counter-information campaign.""",0,1,0,0,0
yeah after few days some jews will say nasser al-kharafi is jew lol!,0,0,0,0,1
"So you believe ALL facts belong in the article. Including what bush had for breakfast last thursday, or what the wing speed of a hummingbird is. What a moron.  

Are you serious?  The wing speed of a hummingbird has NOTHING to do with George Bush!  The fact taht you said that is pure idiocy!  Also, what Bush has for breakfast(remember, we start names with UPPER CASE) has nothing to do with anything.  However, a quote that he made in a public speech with the American people is VERY relevant!   

You clearly have no brain.  Are you GW's friend or something?",0,0,0,1,0
"""IP 65.35.248.179 Dislikes Scienceman123 (ALOT)==
See topic, and discuss at your earliest convience.
Additionally, my friend think you are, as he says a """"gayfag"""", how do you respond to this inquiry?

==""",0,0,0,0,1
Black americans have a hive mind mentality and automatically switch political party preferences just like that.211.28.54.73,0,0,0,0,1
get p!$$ed off when someone expresses hate for Nintendo. I,0,1,0,0,0
@ Good! Just tell me how delete my account so I can get away from you and 's harassment and abuse. You two have made a powerful and unstoppable enemy once I find who your identities are and if you even come to Washington state. I will destroy you guys' li,0,0,1,0,0
"""
Well I see that one of the sold-out hookers who shill for the pharmaceutical industry has deleted my reference not only from here but from biopsychiatry controversy because it is allegedly about an """"obscure anti-psychiatry book."""" That does not, however, prevent me from pointing out that the vested interests of the psychiatry industry are policing Wikipedia and protecting their wealth by removing legitimate references from articles. And the coward didn't even have the courage to identify himself here when he did it!   """,0,0,0,1,0
I'm talking about valid comments buddy.  Use your head.  You have it for a reason...,1,0,0,0,0
"Do you think you would find cum shot, numa numa, or ytmnd in Britannica?",0,1,0,0,0
"""

""""Old lefty"""" is not a personal remark, it is a political categorisation. The """"Old Left"""" is a political category and is not related to the age of the person belonging to it. When the anon editor denied he was an """"old lefty"""" I accepted that, as the above exchange shows. """"Stupid deletion"""" is not a personal remark either, it is a characterisation of the editor's action. You may disagree with me but that's another matter. Why don't you mediate (if that's what you're here to do) on the substance of the matter (the deletion of factual material from the article) rather than wasting your and my time on trivia?  """,0,0,0,0,0
"If no-one beats me to it, I'll knock something up tonight.",0,0,1,0,0
"""

[""""poisonous"""" content previously posted here removed.]   

thanks for your work on merkey related stuff
I wanted to thank you for what is probably otherwise a very thankless task.
Here's my reading on the case. This is a fight that's spilled over from somewhere else on the Internet. None of the participants have much of a clue about Wikipedia's culture of kindness. There are people who love trolling Jeff Merkey because he's easily excited.
We should do our best to encourage all of them to take their fight elsewhere, before their poisonous attitudes
 start to make us irritated with each other.
Anyway, it's good to see you in there.Jimbo Wales 
At any rate,""",0,0,0,0,0
"it is obvius to, me, a black man, that orange is for da black Gs, blue is for mexicans and yellow is 4 whites. coz whites look like woman. and mexicans try to compete with da nigger Gs but we r too strong. but in realty the whites also lose to da black man coz we have foot longs124.176.226.45  

Orange-throated males are strongest and do not form strong pair bonds; instead, they fight blue-throated males for their females. Yellow-throated males, however, manage to snatch females away from them for mating.
Blue-throated males are middle-sized and form strong pair bonds. While they are outcompeted by orange-throated males, they can defend against yellow-throated ones.
Yellow-throated males are smallest, and their coloration mimics females. Under this disguise, they can approach orange-throated males (though not the stronger-bonding, blue-throated specimens) and mate while the orange-throats are engaged in fights.",0,0,0,0,1
"===If the editors here cannot respond to even the most simple of fairness practices when it comes to acknowledging females have had an effect on art history, well, then, screw you.  We are here, we have always been here.  If you think we are going to go a",0,0,0,1,0
This could well be regarded as vandalism.,0,0,0,0,0
"Hey man, I think you are cool. I loved it when you reported that idiot Dark-Hooded dufus. Anyway, should we be best friends here?User:Pic Business",0,0,0,1,0
"I too agree with you, after seeing the POV changes in the anti-India articles, after I have been blocked. Let this site continue to be used for donation-begging of the kind that  Asian beggars do through exhibition of fake wounds and amputations. I admire the treasonous missionaries for their excellent craft. It is good that Christ cannot be here to drive out the Pharisees and money-changers where petty soldiers and mechanics, and paedophile priests  sit in judgement of history and knowledge.",0,0,0,0,1
"=WHY DO YOU HORDE DIAMONDS AND JEWLRY WHILE 1 BILLION  CHILDREN STARVE TO DEATH?
Jewish Devils own all the world's banks, yet donate ZERO percent to charity",0,0,0,0,1
"That may be the case, but there is still no ambiguity over the repulsiveness of irish nationalists, who deserved to be shot dead. 79.75.141.101",0,0,1,0,0
I hope you niggerfags realize that reverting my edits to the Karl Marx page smacks of communist faggotry - something not tolerated by my government. Enjoy being assraped men in black.,0,0,0,0,1
"I'm going to punt your cat about, then it will die. Then you can invent a cyber-cat you geek. However, I will proceed to punt that.",0,0,1,0,0
"I am in awe of your template usage, true fucking hero you are, you twinkle-queen",0,1,0,0,0
"""

Bart Versieck Block

Now that I'm back from Wiki-vacation, Bart has just """"won"""" a three-month break from Wikipedia. Is this a tag team? (minor attempt at humor) """,0,0,0,0,0
Nazis must be fought everytime.,0,0,0,0,1
Clearly the mistake was mine. ) I'm just glad I wasn't an arrogant dick about it. Whew! Came thaaat close. (not true),0,1,0,0,0
"You need to end this now, cold turkey.",1,0,0,0,0
"I don't give a damn about being blocked.  I shall not stand defmation of my faith by anyone, let alone by the Wahhabies.",1,0,0,0,0
I assume you are referring to the papers you uploaded to your userspace and got deleted.,0,0,0,0,0
Note the irony of an appeal for calm being interpreted as hysteria. Enjoy your break.,0,0,0,0,0
"Gay propaganda .   
   
   
   
Gay propaganda is forbidden.",0,0,0,0,1
"Jewish 

Please dont think that jews are everyone just based on your claims. Also dont think jews are smart. if you think so, you are making a clown out of yourself..",0,0,0,0,1
"BLACK SABBATH
Don't undo my revision to the Black Sabbath page again, thanks. All you're doing is making the page a complete mess with false information. I'm sick of having to clean up your crap so knock it off. Sabbath are NOT Heavy Metal, as TONI IOMMI HIMSELF STATED THEY ARE HARD/HEAVY ROCK and NOT HEAVY METAL (besides the fact that any moron can hear the difference). If you undo my revision again, I will just revert it back again. Stop thinking you know it all, you do NOT. I was brought up with these bands and know exactly what genres they are.",0,0,0,1,0
They're all in your head.  Take your haloperidol and put on your aluminum foil helmet like a good boy.,0,0,0,1,0
"Dude this is how Blaxthos operates. He GAMES the system to hype his FAR LEFT liberal agenda, then when he is busted, he sets up a dungeons and dragons type wikipedia trial to oust you accusing you of the VERY things he's guilty of. Wikipedia in general and Blaxthos in particular have a LONG AND SORDID history of doing this. The fact that Wik allows him to run amok is more of an indictment of them than him. He's just a psycho. They PRETEND to be an objective encyclopedia. PS He also accuses EVERYONE who exposes him of being the SAME person. It's called liberal-wik-sockpuppet syndrome. haha 68.40.123.217",1,0,0,0,0
"Man, why are you so angry? That word (FUCKING) which you posted on my talk page was REALLY UNNECESSARY! With that kind of words, I must say that you are completely unable to cooperate with other users on WP. I'll wont post new messages to you, nor I'll respond to yours, because I didn't came to WP to be insulted, but to improve articles. As for stubbornness, it's also one of my characteristics, so if you want to engage in an edit war with me, I'm here!",0,1,0,0,0
"""

How genius!  RickK would love your style of being what he is not.  You know what?  I never make formal complaints, running off to fagmom about how I'm wrong and need somebody to lay the smackdown on my enemies, to let me get away with my fantasy revisionism to edit faggotry as normalcy.  That could be because I have no ulterior motive, nothing to gain or lose by any of this.  That's right, encourage the systematic behaviors of these gays whose profession is to get under other people's skin and pat themselves on the back for their """"bravado"""".  Maybe James will become famous one day.  You know, Ellen Degenerate outed herself and became a star.  How vain, that sexuality is everything and overrides the focus of constitutional questions, civil wars and the religious establishment.  Let pederastic perverts win the day.  Hurrah!  24.255.11.149  """,0,0,0,0,1
"Idiotic and wanton spoilers. 

Who's idea was it to to write nothing about any of the characters other than how and when they die? I've been trying to remove this bullshit but some incompetent and deluded idiots keep warning me and reverting my edits. These spoilers are not needed or called for. Anyone who comes to this article seeking basic information on the characters will have the game essentially ruined for them before they even recieve it. -",1,0,0,0,0
"I am going to bash your skull in and urinate all over your corpse. 

I am going to bash your skull in and urinate all over your corpse.",0,0,1,0,0
"You also want eternal hell???

‘chaitanya-mangala’ shune yadi pashandi, yavana seha maha-vaishnava haya tatakshana If even a great atheist hears Shri Chaitanya-mangala (previous name for Shri Chaitanya-bhagavata), he immediately becomes a great devotee.
Do not dare to do anything against Krishna consiousness or your complete atheism portal would go to eternal hell. This is warning...",0,0,0,0,1
"hi 

hi, what is your mom's bra size?",1,0,0,0,0
"Thomas Cannon 

Laughable commentary from another one of Wikipedia's ignorant, lazy, and arrogant. He deleted my reply on his own Talk page. But of course! He should consider himself lucky to get it. See Point 4 on my User Page",0,0,0,1,0
So the fact Macedonian is a jew and has abusive opinions means nothing!!!,0,0,0,0,1
"Ah, Midland
Wouldn't it be nice to be back there now? I do miss it at this time of yearf",0,0,0,0,0
""" The """"sock puppet"""" goes to Wikipedia Review and talks about being banned] """,1,0,0,0,0
"Also, I like to have sex with little boys.",1,0,0,0,0
YOU LOVE SATAN!?! Not cool man. And you call yourself a Wikipedia editor...,1,0,0,0,0
"That's funny. You was personally offended? So the bad things writer new you, your name etc, right? 
And one get offended by a comment, or epithets on a website, then that same person must grow up spiritually for some more 5 centuries at least.
And if one get more offended by the previous comment, then that same person must kill him/hersef.

Take care!",0,0,1,0,0
"Hi, that is my discussion page, I will please to read al the things that you write here. You can write all types of questions and what ever you want.

'''Write a new message",0,0,0,0,0
"Can you think of a compelling reason... 

as to why murdering black people is wrong? 86.181.0.14",0,0,0,0,1
Must you use italics?  talk-contribs,0,0,0,0,0
"""

 Homopedia 

Let's see, it's called """"jamming"""", <- how appropriate. Professional, mentally defective homo spamsters generate silly, irrelevant connections to any and every publicly known entity, then proceed to use them as cites to spam the homo agenda into otherwise generic pages. Anyone who objects to their political agenda and deletes their stupid spam gets accused of """"vandalism"""" and the pc admins, who are probably homos themselves, go along with it. So, some homo deliberately generates an article somewhere about how homos consider Donald Duck a homo """"icon"""", then spam their links into a Donald Duck page so some 8 year old can get a dose of their homo proclivities. Way to go. Just rename this entire operation HomoPedia. What's next, homo porn pages as """"art""""?""",1,0,0,0,0
"(Florian Schwarz, 21:35, 19 Feb 2006 (UTC))",0,0,0,0,0
"""

  The LGBT Barnstar awarded because your sir/mam are a queer douche   -""",0,0,0,0,1
"""::*When you said """"related to synthesis"""" you already confirmed the misinterpretation. Yes they don't ever talk about any Hindu synthesis at all. Flood's book has not even mentioned synthesis if it matters to you.   
""",0,0,0,0,0
"Mind your own business 

And stop changing messages to others that are not directed at you. Wikipedia is already a scam, do not contribute to it. 65.27.204.71",1,0,0,0,0
Come to my house right now and do me in the bum. I am so horny!,0,1,0,0,0
"Bud, do simran and don't bother me again.",0,0,0,0,0
SHUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUT UP MY AWESOME WRITING ROX,1,0,0,0,0
"I shalt sever thy head at the neck. 

It will be dreadfully slow and painful, in accordance with Wikipedia policies.",0,0,1,0,0
Yeah that's quite laughable.  You need to count correctly and learn how to use the history page correctly.  As the instigator of the revert the other guy would have to violate the 3rr before I would be faced the the decision of passing the 3 mark. Please take you POV crap elsewhere.,0,1,0,0,0
"If this guy isnt gay he is one SERIOUSLY GOOD actor!!!!! 

I've seen Hayes on Will & Grace and the way he acts so.....feminine he must be homosexual.No straight man can act so convincingly gay.But then again Sean acted pretty straight and normal in the movie where he played Jerry Lewis.My opinion is still in favour of him being gay though.",0,0,0,0,1
"I'm blocked for this proposal. Can we investigate truths? Is mankind able to examine reality? We can't simply believe things which we feel pity for. Never mind, i lost hope for Wikipedia.",0,0,0,0,0
"Please stop. If you continue to ignore our policies by introducing inappropriate pages to Wikipedia, you will be blocked.",0,0,1,0,0
"Response 

Well, thanks for giving me a final warning.

As usual, I get no appreciation for expanding articles on this site, no words of encouragement for the hours that I spend fighting vandalism; just crap. Crap for the 0.1% of my edits that could be described as nonconstructive.

Way to go, moron. Keep up the good work. -",0,0,0,1,0
"In the days of sail, boys were sent off for different kinds of oil for the port and starboard lights. I am glad that sometimes Wikipedia is not entirely serious.",0,0,0,0,0
"""""""John Henry Haines was born on April 20, 1420, in Houston, Texas to missionary parents.""""  WTF does this have to do with this article?

""",0,1,0,0,0
"bloody hell, it continues!",0,1,0,0,0
"I know where you live, fool. 

I lol'd.",0,0,0,1,0
"I would cite the references that I've made in bold freakin' text, but I can neither find nor be hassled to go through all the site's features to venture the references button, so I put the chapter number and quotes accordingly in the edit, giving you no excuse by any means to go about defiling through them all as though it were your life's passion. IF you find them so troubling, move the references (Ch. 260, for one) I made to the references section for crying out loud. Don't be undoing edits like some douche seeking to start edit wars with no authority, (take it from me) it makes you look like a cretin, honestly.",0,0,0,1,0
"""

 Comments 

""""... I stopped using my other one because of a lot of harassment and personal attacks."""": After I saw what you did, I think your second account will have the same destiny as your first one.

From this: I can't find significant coverage for this software.

What a most clueless, nut speech I've ever heard in my life. You can't find, doesn't mean It will be deleted. Sucks!   """,0,1,0,0,0
"hello. i know where you live. i know what you did last summer. i'm coming to get you. yes, you. you better watch your back. you'll never know when i'm coming, but i'm coming. when you least expect it.",0,0,1,0,0
"""

 Image caption - Homosexual? 

The second image of an infected persons back has a caption which reads:
""""A 23-year-old homosexual man had an intensely pruritic, papulonodular eruption over his arms and back.""""

How is the fact, that the man is homosexual, relevant? The sexual orientation does not change the course of the desease and I believe that the comment could enforce the stereotype, that homosexual people are all infected with STDs.
I think it should just say """"A 23-year-old man...""""
88.217.49.147  """,0,0,0,0,1
"ryan griffith 

i stink",0,0,0,1,0
"""""""Sly SOB"""" is a somewhat common teasing expression, not a way to seriously call somebody a son of a bitch. Please learn the vernacular before commenting on it in the future, it will save you from some embarrassment. 204.69.190.254  
""",0,1,0,0,0
"what up, my comma deleting nigga?",0,0,0,1,0
Now you've done it.  They should have shown Leo taking a crap at the beginning of ever episode.  Brilliant!,0,1,0,0,0
"I didn't even use that last IP as a disruption, only to add 1 simple thing to a simple talk page that was not negative. Oh well. I'll pass. Looks good up there anyway. Makes me look like a rebel",0,0,0,0,0
"Christian XXX
What do you mean citations? The guy is all over gay porn and always been active in it. I provided one of hundreds of links showing the release dates within the last 2 months of his gay porn so whats your problem. Why are you undoing it?
That vendor link you provided me does not demonstrate anything. All I see is just a list of recent gay movies. Why are you focusing on his gay work? The intro just said he was known in gay porn as Maxx Diesel at the beginning of his career. It doesn't really suggest that he stopped doing gay work.",0,0,0,0,1
"First of all, you people can't even take a smart-ass joke about your own favourite characters but don't mind screwing up pages of the people you hate such as The Ginyu Force and Cui.
You don't own these pages, I even went to the bother of shortening the descriptions down to make it easier for all of us. Huh how pointless, I should have expected immature villain-haters like you to do this. The fact is these pages originally had the Ginyu Force characters listed... and I wonder who came along and took it away????",0,0,0,1,0
"Homey 

Yo I beat u up",0,0,1,0,0
"personal attacks 

dont tell me what i can and can not do i'll come over there right now and throw a brick through ur window",0,0,1,0,0
Would someone be kind enough to thank Timotheus for removing that crap. It is seriously appreciated. And with that i`m done.,0,1,0,0,0
"Hey, you're not the only Irishman editing this damn thing ;-)",0,1,0,0,0
"""
                                                                                                Yeah, it could be, """"Farix"""". You know why? Because Wikipedia is a place to add INFORMATION about subjects, not a place where you can be a jerk and prevent people from adding stuff about the list of Bakugan, OK? And nothing is wrong with having a writer's guide for your fan fiction. Jeez, you do this all the time and look where it gets youyou're a nerd living with your mom and you have no friends. You see?   Omnigan""",0,0,0,1,0
https://www.youtube.com/watch?v=07tnFzEDZZ8 - this is belgium parliament in original. What is he talking about? Pro or contra pedophily?,0,0,0,0,0
"So what the Hell is problem===  you cant just go around and fix stuff that you know nothing about.  look at the facts before you think you know it all I have looked and some of the changes you have done, and you know nothing about anthing,  If I had my way I would have yo ubanned.........",1,0,0,0,0
"""

 Vandalize?! 

I would have ignored your message normally (and by ignore I mean let you live), but why on earth would you call my edit """"vandalize"""" while it obviously was not? I merely added a category that I thought was appropriate with absolutely no intent to """"vandalize"""". You could've said it was something you don't agree with, or even something that most people who edit here don't agree with. You could've directed your """"warning"""" at my (very real) threat. Like """"the next time you threaten someone"""". Call me what you want, but I'm not a petty """"vandalizer"""". I usually feel lazy to cross international lines to do just one thing, but I'm glad to tell you that you've signed your own death warrant and as long as you and the guy who reverted it are in the same country, both of you can look forward to a painful death very shortly.   """,0,0,1,0,0
"Wtf man, every edit made by me is blindly reverted by Olahus (he doesn't even care that he introduces Nazi apologia in the process). If this isn't harassment, nothing is.",1,0,0,0,0
"""

New Award

Well Done!!!

  The IAmTheCoinMan You Are Really Annoying And You Are Good At Anti-Vandalism Barnstar I, , award you the The IAmTheCoinMan You Are Really Annoying And You Are Good At Anti-Vandalism Barnstar for your multiple prompt reverts to my joke.  Protecting the wiki isn't important, and an unimportant task under that is protecting other wikipedians!  Your efforts are much much not appreciated.  I hope someone cuts of your hands! """,0,0,1,0,0
"""Both Jessica and Paris are on my List of Sexy Celebrities on my MySpace page.  - THE VOICES 

""",0,0,0,0,0
"""
Why is my """"best bet"""" to apologize to the idiots – yes Wikipediots – who have ruined this project? Oh, will I be blocked? Goodness me, where will I go? What will I do?  """,0,0,0,1,0
I agree with Baseball Bugs on this one. This guy is being a real jerk.,0,0,0,1,0
"""

 How does it feel 

To be a negress? Do you find it hard on yourself because your race genetically has average 85 IQ?  — Preceding unsigned comment added by 174.95.168.226   """,0,0,0,0,1
Anyone in the Republic of Singapore is Gay!!! India Forever!!,1,0,0,0,0
"Jelena AuroviA 

Hi Astronaut, on July 4th you raised questions about the Jelena AuroviA article (Wikipedia:Biographies of living persons/Noticeboard/Archive66). I have recently shortened the article removing what I understand was probably irrelevant information. I have also added several references and external links in English and these are now on top of those English resources that you've probably missed when you reviewed the article. The article is tagged as a possible add and notability is questioned as well by user Ukexpat. I have informed him of the changes to the article but have not received any response yet.

As I am fairly new to Wikipedia, could you please let me know what would be the procedure for removing those tags from the article? Could you review it again or does it have to be done by Ukexpat? Thanks in advance.",0,0,0,0,0
Thanks for reading.  I appreciate it.  You should review that bullshit policy about personal attacks.  Thanks for the entertaining response.  ),0,1,0,0,0
"I guess if the Marvel Directory stuff is copied directly from the Handbook, then it should be removed, although the reason it was added was because that bare-bones version really sucks.  I can't rewrite it myself, because I only have the original series (I hate the later stuff).",1,0,0,0,0
"""

Also, I'd like to know how simply expressing MY opinion and support on my friend's talkpage consitutes a """"disruption""""? Personal attacks are by definition personal, IE directed at someone. My comments were directed at no one in particular..no names are mentioned. They were simply the degganged rantings of a disgruntled old lunatic, until you acted upon them. So they must have struck a nerve somewhere. """,0,0,0,1,0
"""
""""and other equivalent sources do not match WHO's findings."""" That's WPÖR sure. Kingofaces43 arguing 'newishness' about a sciencticfic poublication needs to chack thet COIs. But alas, their EPA FUD seems to do. -  """,0,0,0,0,0
"""OlYeller petulantly wrote: """"this isn't taking the conversation anywhere.""""  That's another false statement.  This conversation has corrected your false statement that there were zero indications that it was an annual event and your false statement that """"Your argument that there's a second event simply isn't true.""""  I know you don't like to be corrected.  Hey, maybe you should do another immature and emotion-based attempt to ban me, like you did a few days ago, only to realize later (after you had calmed down) that you had no basis for doing so.  Executive Summary:  Grow up, dick.  

""",0,1,0,0,0
"Clarifying .. 

Hi there !

I just want to clear things here in wikipedia . I am a new user here .
I have received a warning from you . I am expecting it already .
How can it be vandalism ? I am not mad anyway , I just want to ask . )
and , Is it possible to make the show's logo in GIF format ?
I just want to make it animated . By the way , If it is possible , I have a GIF
image here of the 24 Oras logo , much cleaner than the old one I have uploaded earlier.

and Sorry for the changes ..",0,0,0,0,0
"No, I have a large supply of popcorn. Argue away:-)",0,0,0,0,0
Your space bar is broken? Or does it only refuse to work after full stops? Moron! LOL,0,0,0,1,0
"RE: Removing my name from the KMHD article 

OK you little punk - you want to make it personal?  You want a war?  You got it you son of a whore!",1,0,0,0,0
"""

|Hi ! You are receiving this message because we've noticed your excellent edits on Alabama related articles. We need your help at the Alabama WikiProject! This is a new WikiProject and there is much work to do. Please head over to the project page, add your name, and help us enhance and increase the coverage of Alabama related stories. yak, yak, yak """,0,0,0,0,0
"Wikistalking 

Unless you wish to be targeted yourself in a similar manner to Deskana I suggest to cease stalking me and reverting my edits at once",0,0,1,0,0
"I'm not talking about wikipedia, I'm talking about real life. All the world except for you gayreeks should be treated nicely, you should be executed.",0,0,1,0,0
"""

That is not a insult. That is a reality, that link is a lint to a racist group. And armenian grow up  their children with racism. They send their children to """"genocide camps"""" and teach them how barbarian Turks are making genocide(!). If you dont believe me please ask an Armenian user.  """,0,0,0,0,1
"""

   You have been blocked from editing for 48 hours in accordance with Wikipedia's blocking policy as a result of your repeated abuse of editing privileges.  Once the block has expired, you are welcome to make constructive contributions.  If you believe this block is unjustified you may contest this block by replying here on your talk page by adding the text {{unblock|your reason here}} .  (talk)  """,0,0,0,0,0
That little girl is noteable. It is elitist nazis like you that have ruined Wikipedia.,1,0,0,0,0
"and you are in what position to give out orders, dictate and judge exactly?
none. none whatsoever. you are only making yourself look absolute pathetic by saying such nonsense.
and with regards to your reference of the source being 'totally a reliable and accurate source, give me a break', very professional of yourself. fueled with anti-welsh sentiments too i gather.
let me know when you come to Seoul to visit your professional father. your comments prove that the professional genes haven't blessed yourself.",1,0,0,0,0
"Thanks 

Thankyou for your kind encouragement. I really appreciate it, especially after all the hard work you have put into the article.  (Talk)",0,0,0,0,0
"""""""Heather LaCunt"""" has also been trolling the LICD forums, apparently, but can't even get her dates right and lied her ass off about the process and meetings involved in Teletoon's theft of the show idea.

""",0,1,0,0,0
